Match,Team_Ining,Batting_Pos,BatsmanName,Out / NotOut,Runs,Balls,Miss,4s,6s,SR,Match_ID
IndiaVsSouthAfrica,India,1,Rohit Sharma,out,9,5,7,2,0,180,T20I # 2729
IndiaVsSouthAfrica,India,2,Virat Kohli,out,76,59,87,6,2,128.81,T20I # 2729
IndiaVsSouthAfrica,India,3,Rishabh Pant,out,0,2,2,0,0,0,T20I # 2729
IndiaVsSouthAfrica,India,4,Suryakumar Yadav,out,3,4,9,0,0,75,T20I # 2729
IndiaVsSouthAfrica,India,5,Axar Patel,out,47,31,38,1,4,151.61,T20I # 2729
IndiaVsSouthAfrica,India,6,Shivam Dube,out,27,16,32,3,1,168.75,T20I # 2729
IndiaVsSouthAfrica,India,7,Hardik Pandya,not out,5,2,7,1,0,250,T20I # 2729
IndiaVsSouthAfrica,India,8,Ravindra Jadeja,out,2,2,1,0,0,100,T20I # 2729
IndiaVsSouthAfrica,South Africa,1,Reeza Hendricks,out,4,5,6,1,0,80,T20I # 2729
IndiaVsSouthAfrica,South Africa,2,Quinton de Kock,out,39,31,54,4,1,125.8,T20I # 2729
IndiaVsSouthAfrica,South Africa,3,Aiden Markram,out,4,5,4,1,0,80,T20I # 2729
IndiaVsSouthAfrica,South Africa,4,Tristan Stubbs,out,31,21,24,3,1,147.61,T20I # 2729
IndiaVsSouthAfrica,South Africa,5,Heinrich Klaasen,out,52,27,33,2,5,192.59,T20I # 2729
IndiaVsSouthAfrica,South Africa,6,David Miller,out,21,17,37,1,1,123.52,T20I # 2729
IndiaVsSouthAfrica,South Africa,7,Marco Jansen,out,2,4,7,0,0,50,T20I # 2729
IndiaVsSouthAfrica,South Africa,8,Keshav Maharaj,not out,2,7,18,0,0,28.57,T20I # 2729
IndiaVsSouthAfrica,South Africa,9,Kagiso Rabada,out,4,3,5,1,0,133.33,T20I # 2729
IndiaVsSouthAfrica,South Africa,10,Anrich Nortje,not out,1,1,1,0,0,100,T20I # 2729
EnglandVsIndia,India,1,Rohit Sharma,out,57,39,57,6,2,146.15,T20I # 2724
EnglandVsIndia,India,2,Virat Kohli,out,9,9,10,0,1,100,T20I # 2724
EnglandVsIndia,India,3,Rishabh Pant,out,4,6,12,0,0,66.66,T20I # 2724
EnglandVsIndia,India,4,Suryakumar Yadav,out,47,36,40,4,2,130.55,T20I # 2724
EnglandVsIndia,India,5,Hardik Pandya,out,23,13,17,1,2,176.92,T20I # 2724
EnglandVsIndia,India,6,Ravindra Jadeja,not out,17,9,24,2,0,188.88,T20I # 2724
EnglandVsIndia,India,7,Shivam Dube,out,0,1,1,0,0,0,T20I # 2724
EnglandVsIndia,India,8,Axar Patel,out,10,6,10,0,1,166.66,T20I # 2724
EnglandVsIndia,India,9,Arshdeep Singh,not out,1,1,1,0,0,100,T20I # 2724
EnglandVsIndia,England,1,Phil Salt,out,5,8,20,0,0,62.5,T20I # 2724
EnglandVsIndia,England,2,Jos Buttler,out,23,15,13,4,0,153.33,T20I # 2724
EnglandVsIndia,England,3,Moeen Ali,out,8,10,18,0,0,80,T20I # 2724
EnglandVsIndia,England,4,Jonny Bairstow,out,0,3,2,0,0,0,T20I # 2724
EnglandVsIndia,England,5,Harry Brook,out,25,19,21,3,0,131.57,T20I # 2724
EnglandVsIndia,England,6,Sam Curran,out,2,4,4,0,0,50,T20I # 2724
EnglandVsIndia,England,7,Liam Livingstone,out,11,16,24,0,0,68.75,T20I # 2724
EnglandVsIndia,England,8,Chris Jordan,out,1,5,6,0,0,20,T20I # 2724
EnglandVsIndia,England,9,Jofra Archer,out,21,15,17,1,2,140,T20I # 2724
EnglandVsIndia,England,10,Adil Rashid,out,2,2,2,0,0,100,T20I # 2724
EnglandVsIndia,England,11,Reece Topley,not out,3,3,6,0,0,100,T20I # 2724
AfghanistanVsSouthAfrica,Afghanistan,1,Rahmanullah Gurbaz,out,0,3,5,0,0,0,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,2,Ibrahim Zadran,out,2,5,15,0,0,40,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,3,Gulbadin Naib,out,9,8,6,2,0,112.5,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,4,Azmatullah Omarzai,out,10,12,18,2,0,83.33,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,5,Mohammad Nabi,out,0,3,1,0,0,0,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,6,Nangeyalia Kharote,out,2,7,5,0,0,28.57,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,7,Karim Janat,out,8,13,22,1,0,61.53,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,8,Rashid Khan,out,8,8,20,2,0,100,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,9,Noor Ahmad,out,0,2,2,0,0,0,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,10,Naveen-ul-Haq,out,2,8,9,0,0,25,T20I # 2723
AfghanistanVsSouthAfrica,Afghanistan,11,Fazalhaq Farooqi,not out,2,2,6,0,0,100,T20I # 2723
AfghanistanVsSouthAfrica,South Africa,1,Quinton de Kock,out,5,8,7,1,0,62.5,T20I # 2723
AfghanistanVsSouthAfrica,South Africa,2,Reeza Hendricks,not out,29,25,44,3,1,116,T20I # 2723
AfghanistanVsSouthAfrica,South Africa,3,Aiden Markram,not out,23,21,35,4,0,109.52,T20I # 2723
BangladeshVsAfghanistan,Afghanistan,1,Rahmanullah Gurbaz,out,43,55,69,3,1,78.18,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,2,Ibrahim Zadran,out,18,29,46,1,0,62.06,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,3,Azmatullah Omarzai,out,10,12,20,0,0,83.33,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,4,Gulbadin Naib,out,4,3,4,1,0,133.33,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,5,Mohammad Nabi,out,1,5,6,0,0,20,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,6,Karim Janat,not out,7,6,15,1,0,116.66,T20I # 2722
BangladeshVsAfghanistan,Afghanistan,7,Rashid Khan,not out,19,10,10,0,3,190,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,1,Litton Das,not out,54,49,95,5,1,110.2,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,2,Tanzid Hasan,out,0,3,12,0,0,0,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,3,Najmul Hossain Shanto,out,5,5,7,1,0,100,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,4,Shakib Al Hasan,out,0,1,1,0,0,0,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,5,Soumya Sarkar,out,10,10,18,1,0,100,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,6,Towhid Hridoy,out,14,9,7,2,0,155.55,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,7,Mahmudullah,out,6,9,8,1,0,66.66,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,8,Rishad Hossain,out,0,1,1,0,0,0,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,9,Tanzim Hasan Sakib,out,3,10,13,0,0,30,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,10,Taskin Ahmed,out,2,9,31,0,0,22.22,T20I # 2722
BangladeshVsAfghanistan,Bangladesh,11,Mustafizur Rahman,out,0,1,1,0,0,0,T20I # 2722
IndiaVsAustralia,India,1,Rohit Sharma,out,92,41,59,7,8,224.39,T20I # 2721
IndiaVsAustralia,India,2,Virat Kohli,out,0,5,8,0,0,0,T20I # 2721
IndiaVsAustralia,India,3,Rishabh Pant,out,15,14,33,1,1,107.14,T20I # 2721
IndiaVsAustralia,India,4,Suryakumar Yadav,out,31,16,29,3,2,193.75,T20I # 2721
IndiaVsAustralia,India,5,Shivam Dube,out,28,22,33,2,1,127.27,T20I # 2721
IndiaVsAustralia,India,6,Hardik Pandya,not out,27,17,24,1,2,158.82,T20I # 2721
